# mpedb sqllogictest corpus baseline.
# Regenerate deliberately with --write-baseline; never by hand.
# root /home/morten/sqllogictest/test
# key	total	pass	unsupported	wrong	errmis	skipped	fatal
index/orderby_nosort/100/slt_good_1.test	10141	10141	0	0	0	0	0
index/orderby_nosort/100/slt_good_2.test	10142	10142	0	0	0	0	0
index/orderby_nosort/100/slt_good_3.test	10143	10143	0	0	0	0	0
index/orderby_nosort/100/slt_good_4.test	10141	10141	0	0	0	0	0
index/orderby_nosort/100/slt_good_5.test	10142	10142	0	0	0	0	0
index/orderby_nosort/100/slt_good_6.test	10144	10144	0	0	0	0	0
index/orderby_nosort/1000/slt_good_0.test	11040	11040	0	0	0	0	0
index/orderby_nosort/1000/slt_good_1.test	11043	11043	0	0	0	0	0
index/random/10/slt_good_0.test	12172	10032	0	0	0	2140	0
index/random/10/slt_good_1.test	12289	10034	0	0	0	2255	0
index/random/10/slt_good_10.test	12229	10034	0	0	0	2195	0
index/random/10/slt_good_11.test	12251	10031	0	0	0	2220	0
index/random/10/slt_good_12.test	12218	10033	0	0	0	2185	0
index/random/10/slt_good_13.test	12252	10032	0	0	0	2220	0
index/random/10/slt_good_14.test	12161	10031	0	0	0	2130	0
index/random/10/slt_good_2.test	12124	10034	0	0	0	2090	0
index/random/10/slt_good_3.test	12154	10034	0	0	0	2120	0
index/random/10/slt_good_4.test	12238	10033	0	0	0	2205	0
index/random/10/slt_good_5.test	11869	10034	0	0	0	1835	0
index/random/10/slt_good_6.test	12044	10034	0	0	0	2010	0
index/random/10/slt_good_7.test	12071	10031	0	0	0	2040	0
index/random/10/slt_good_8.test	12117	10032	0	0	0	2085	0
index/random/10/slt_good_9.test	12091	10031	0	0	0	2060	0
index/random/100/slt_good_0.test	12028	10123	0	0	0	1905	0
index/random/100/slt_good_1.test	12178	10123	0	0	0	2055	0
index/random/1000/slt_good_0.test	2302	2067	0	0	0	235	0
index/random/1000/slt_good_1.test	1061	1056	0	0	0	5	0
index/random/1000/slt_good_2.test	1027	1027	0	0	0	0	0
index/random/1000/slt_good_3.test	1033	1033	0	0	0	0	0
index/random/1000/slt_good_4.test	1037	1032	0	0	0	5	0
index/random/1000/slt_good_5.test	5003	4333	0	0	0	670	0
index/random/1000/slt_good_6.test	12951	11021	0	0	0	1930	0
index/random/1000/slt_good_7.test	13012	11022	0	0	0	1990	0
index/random/1000/slt_good_8.test	5631	4841	0	0	0	790	0
index/view/10/slt_good_0.test	0	0	0	0	0	0	0
index/view/10/slt_good_1.test	8200	7135	0	0	0	1065	0
index/view/10/slt_good_2.test	8428	7333	0	0	0	1095	0
index/view/10/slt_good_3.test	7739	6734	0	0	0	1005	0
index/view/10/slt_good_4.test	8661	7536	0	0	0	1125	0
index/view/10/slt_good_5.test	8317	7237	0	0	0	1080	0
index/view/10/slt_good_6.test	7050	6135	0	0	0	915	0
index/view/10/slt_good_7.test	7971	6936	0	0	0	1035	0
index/view/100/slt_good_0.test	8866	7726	0	0	0	1140	0
index/view/100/slt_good_1.test	8172	7122	0	0	0	1050	0
index/view/100/slt_good_2.test	8403	7323	0	0	0	1080	0
index/view/100/slt_good_3.test	7252	6322	0	0	0	930	0
index/view/100/slt_good_4.test	7943	6923	0	0	0	1020	0
index/view/100/slt_good_5.test	8402	7322	0	0	0	1080	0
index/view/1000/slt_good_0.test	7693	6823	0	0	0	870	0
index/view/10000/slt_good_0.test	10712	10622	0	0	0	90	0
random/aggregates/slt_good_0.test	13922	10012	0	0	0	3910	0
random/aggregates/slt_good_1.test	14128	10012	0	0	0	4116	0
random/aggregates/slt_good_10.test	14067	10012	0	0	0	4055	0
random/aggregates/slt_good_100.test	13951	10012	0	0	0	3939	0
random/aggregates/slt_good_101.test	13968	10012	0	0	0	3956	0
random/aggregates/slt_good_102.test	13882	10012	0	0	0	3870	0
random/aggregates/slt_good_103.test	13923	10012	0	0	0	3911	0
random/aggregates/slt_good_104.test	13938	10012	0	0	0	3926	0
random/aggregates/slt_good_105.test	14042	10012	0	0	0	4030	0
random/aggregates/slt_good_106.test	13971	10012	0	0	0	3959	0
random/aggregates/slt_good_107.test	14060	10012	0	0	0	4048	0
random/aggregates/slt_good_108.test	13952	10012	0	0	0	3940	0
random/aggregates/slt_good_109.test	13994	10012	0	0	0	3982	0
random/aggregates/slt_good_11.test	13946	10012	0	0	0	3934	0
random/aggregates/slt_good_110.test	13951	10012	0	0	0	3939	0
random/aggregates/slt_good_111.test	13946	10012	0	0	0	3934	0
random/aggregates/slt_good_112.test	13957	10012	0	0	0	3945	0
random/aggregates/slt_good_113.test	13973	10012	0	0	0	3961	0
random/aggregates/slt_good_114.test	14000	10012	0	0	0	3988	0
random/aggregates/slt_good_115.test	13984	10012	0	0	0	3972	0
random/aggregates/slt_good_116.test	14024	10012	0	0	0	4012	0
random/aggregates/slt_good_117.test	14075	10012	0	0	0	4063	0
random/aggregates/slt_good_118.test	14040	10012	0	0	0	4028	0
random/aggregates/slt_good_119.test	13929	10012	0	0	0	3917	0
random/aggregates/slt_good_12.test	13997	10012	0	0	0	3985	0
random/aggregates/slt_good_120.test	13943	10012	0	0	0	3931	0
random/aggregates/slt_good_121.test	13927	10012	0	0	0	3915	0
random/aggregates/slt_good_122.test	13992	10012	0	0	0	3980	0
random/aggregates/slt_good_123.test	14103	10012	0	0	0	4091	0
random/aggregates/slt_good_124.test	13946	10012	0	0	0	3934	0
random/aggregates/slt_good_125.test	13993	10012	0	0	0	3981	0
random/aggregates/slt_good_126.test	13933	10012	0	0	0	3921	0
random/aggregates/slt_good_127.test	14006	10012	0	0	0	3994	0
random/aggregates/slt_good_128.test	13940	10012	0	0	0	3928	0
random/aggregates/slt_good_129.test	1146	802	0	0	0	344	0
random/aggregates/slt_good_13.test	14048	10012	0	0	0	4036	0
random/aggregates/slt_good_14.test	13933	10012	0	0	0	3921	0
random/aggregates/slt_good_15.test	13865	10012	0	0	0	3853	0
random/aggregates/slt_good_16.test	13955	10012	0	0	0	3943	0
random/aggregates/slt_good_17.test	13934	10012	0	0	0	3922	0
random/aggregates/slt_good_18.test	13953	10012	0	0	0	3941	0
random/aggregates/slt_good_19.test	13936	10012	0	0	0	3924	0
random/aggregates/slt_good_2.test	14050	10012	0	0	0	4038	0
random/aggregates/slt_good_20.test	13955	10012	0	0	0	3943	0
random/aggregates/slt_good_21.test	13929	10012	0	0	0	3917	0
random/aggregates/slt_good_22.test	13977	10012	0	0	0	3965	0
random/aggregates/slt_good_23.test	14000	10012	0	0	0	3988	0
random/aggregates/slt_good_24.test	14038	10012	0	0	0	4026	0
random/aggregates/slt_good_25.test	14173	10012	0	0	0	4161	0
random/aggregates/slt_good_26.test	13967	10012	0	0	0	3955	0
